2 249685                      
TIME		DATE	MODULE	EVENT_TYPE	THREAD	FUNCTION	MESSAGE
11:22:54	3392	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02EE44C8 | QPR.PG.Plugin.dll | QPR.PG.Clients.ObjectManager.pas | PG.Clients.ObjectManager.CBaseObject.CreateFromRepositoryStream | Line: 4500
11:22:54	3393	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02D8D3CF | QPR.PG.Plugin.dll | QPR.PG.Clients.ViewObject.Symbol.pas | PG.Clients.ViewObject.Symbol.CSymbol.CreateFromRepositoryStream | Line: 507
11:22:54	3393	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02D8D39C | QPR.PG.Plugin.dll | QPR.PG.Clients.ViewObject.Symbol.pas | PG.Clients.ViewObject.Symbol.CSymbol.CreateFromRepositoryStream | Line: 506
11:22:54	3394	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E4EE4F | QPR.PG.Plugin.dll | QPR.PG.Clients.ViewManager.Modeling.pas | PG.Clients.ViewManager.Modeling.CModelingViewManager.oCreateObjectF | Line: 1927
11:22:54	3394	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02B9777D | QPR.PG.Plugin.dll | Classes.pas | TStream.ReadBuffer | Line: 5297
11:22:54	3395	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E4D3CD | QPR.PG.Plugin.dll | QPR.PG.Clients.ViewManager.Modeling.pas | PG.Clients.ViewManager.Modeling.CModelingViewManager.CreateFromRepo | Line: 905
11:22:54	3395	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02B74AE9 | QPR.PG.Plugin.dll | system.pas | _AfterConstruction | Line: 9520
11:22:54	3396	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E4D28C | QPR.PG.Plugin.dll | QPR.PG.Clients.ViewManager.Modeling.pas | PG.Clients.ViewManager.Modeling.CModelingViewManager.CreateFromRepo | Line: 881
11:22:54	3396	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E1FA8B | QPR.PG.Plugin.dll | QPR.PG.Clients.Model.Entry.pas | PG.Clients.Model.Entry.CModelListEntry.FCreateManagersFromRepositor | Line: 872
11:22:54	3397	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E1F940 | QPR.PG.Plugin.dll | QPR.PG.Clients.Model.Entry.pas | PG.Clients.Model.Entry.CModelListEntry.FCreateManagersFromRepositor | Line: 850
11:22:54	3397	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E1F2B2 | QPR.PG.Plugin.dll | QPR.PG.Clients.Model.Entry.pas | PG.Clients.Model.Entry.CModelListEntry.iLoadServerModel | Line: 742
